date,deal_type,target,acquirer,title,url
2023-02-09,acquisition,Huntsman International’s textile effects business,Archroma Operations S,CCI approves acquisition of Huntsman International’s textile effects business by Archroma Operations S.à.r.l.,https://pib.gov.in/PressReleasePage.aspx?PRID=1897823
2023-02-09,acquisition,Keimed Private Limited,Ms. Shobana Kamineni,CCI approves acquisition of 20% equity share capital of Keimed Private Limited by Ms. Shobana Kamineni through Prime Time Logistics Technologies Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1897828
2023-02-09,acquisition,100% equity and preference shares of Lanco Anpara Power Limited,Megha Engineering and Infrastructures Limited,CCI approves acquisition of 100% equity and preference shares of Lanco Anpara Power Limited by Megha Engineering and Infrastructures Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1897827
2022-10-20,acquisition,stake,CA Basque Investments of Yes Bank Limited,CCI approves acquisition of stake by CA Basque Investments of Yes Bank Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1869746
2022-10-20,acquisition,certain businesses of Shubhalakshmi Polyesters Limited and Shubhlaxmi Polytex Limited,Reliance Polyester Limited,CCI approves acquisition of certain businesses of Shubhalakshmi Polyesters Limited and Shubhlaxmi Polytex Limited by Reliance Polyester Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1869749
2022-10-20,acquisition,equity securities amounting up to 10% in YES Bank,Verventa Holdings,CCI approves acquisition of equity securities amounting up to 10% in YES Bank by Verventa Holdings,https://pib.gov.in/PressReleasePage.aspx?PRID=1869750
2022-09-29,acquisition,of the share capital of eighteen subsidiaries of Mytrah Energy (India) Private Limited,JSW Neo Energy Limited,CCI approves acquisition of of the share capital of eighteen subsidiaries of Mytrah Energy (India) Private Limited by JSW Neo Energy Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1863413
2022-09-29,acquisition,Assets of Essar Group,ArcelorMittal Nippon Steel India Limited,CCI approves acquisition of Assets of Essar Group by ArcelorMittal Nippon Steel India Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1863429
2022-09-22,amalgamation,Jio Cinema OTT platform,Viacom 18 Media Private Limited,"CCI approves amalgamation of Jio Cinema OTT platform with Viacom 18 Media Private Limited, following an investment by BTS Investment 1 Pte. Ltd. and Reliance Projects & Property Management Services Limited",https://pib.gov.in/PressReleasePage.aspx?PRID=1861387
2022-09-05,acquisition,100% of equity share capital of IndiaIdeas.com Limited (IIL),PayU Payments Private Limited,CCI approves acquisition of 100% of equity share capital of IndiaIdeas.com Limited (IIL) by PayU Payments Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1856891
