state,sector,status_bucket,count
HIMACHAL PRADESH,Industrial Projects - 3,tor_granted,3
HIMACHAL PRADESH,Non-Coal Mining,dead,70
HIMACHAL PRADESH,Non-Coal Mining,granted,394
HIMACHAL PRADESH,Non-Coal Mining,in_process,66
HIMACHAL PRADESH,Non-Coal Mining,tor_granted,61
HIMACHAL PRADESH,None,in_process,6
HIMACHAL PRADESH,River Valley and Hydroelectric Projects,dead,1
HIMACHAL PRADESH,River Valley and Hydroelectric Projects,granted,2
HIMACHAL PRADESH,River Valley and Hydroelectric Projects,in_process,4
JAMMU AND KASHMIR,INFRA-1,dead,1
JAMMU AND KASHMIR,INFRA-2,dead,14
JAMMU AND KASHMIR,INFRA-2,granted,4
JAMMU AND KASHMIR,INFRA-2,in_process,8
JAMMU AND KASHMIR,INFRA-2,tor_granted,8
JAMMU AND KASHMIR,Industrial Projects - 1,dead,11
JAMMU AND KASHMIR,Industrial Projects - 1,granted,3
JAMMU AND KASHMIR,Industrial Projects - 1,in_process,3
JAMMU AND KASHMIR,Industrial Projects - 1,tor_granted,8
JAMMU AND KASHMIR,Industrial Projects - 2,dead,4
JAMMU AND KASHMIR,Industrial Projects - 2,granted,2
JAMMU AND KASHMIR,Industrial Projects - 3,dead,6
JAMMU AND KASHMIR,Industrial Projects - 3,granted,2
JAMMU AND KASHMIR,Industrial Projects - 3,in_process,2
JAMMU AND KASHMIR,Industrial Projects - 3,tor_granted,2
JAMMU AND KASHMIR,Non-Coal Mining,dead,118
JAMMU AND KASHMIR,Non-Coal Mining,granted,158
JAMMU AND KASHMIR,Non-Coal Mining,in_process,30
JAMMU AND KASHMIR,Non-Coal Mining,tor_granted,6
JAMMU AND KASHMIR,River Valley and Hydroelectric Projects,dead,1
JAMMU AND KASHMIR,River Valley and Hydroelectric Projects,granted,3
JAMMU AND KASHMIR,River Valley and Hydroelectric Projects,tor_granted,2
JHARKHAND,Coal Mining,dead,36
JHARKHAND,Coal Mining,granted,70
JHARKHAND,Coal Mining,in_process,14
JHARKHAND,Coal Mining,tor_granted,24
JHARKHAND,INFRA-1,dead,2
JHARKHAND,INFRA-2,dead,21
JHARKHAND,INFRA-2,granted,93
JHARKHAND,INFRA-2,in_process,13
JHARKHAND,INFRA-2,tor_granted,13
JHARKHAND,Industrial Projects - 1,dead,46
JHARKHAND,Industrial Projects - 1,granted,60
JHARKHAND,Industrial Projects - 1,in_process,13
JHARKHAND,Industrial Projects - 1,tor_granted,62
JHARKHAND,Industrial Projects - 2,dead,5
JHARKHAND,Industrial Projects - 2,granted,7
JHARKHAND,Industrial Projects - 2,in_process,1
JHARKHAND,Industrial Projects - 2,tor_granted,3
JHARKHAND,Industrial Projects - 3,dead,2
JHARKHAND,Industrial Projects - 3,granted,1
JHARKHAND,Industrial Projects - 3,tor_granted,4
JHARKHAND,Non-Coal Mining,dead,152
JHARKHAND,Non-Coal Mining,granted,1145
JHARKHAND,Non-Coal Mining,in_process,146
JHARKHAND,Non-Coal Mining,tor_granted,189
JHARKHAND,None,in_process,17
JHARKHAND,Thermal Projects,dead,4
JHARKHAND,Thermal Projects,granted,4
JHARKHAND,Thermal Projects,in_process,1
JHARKHAND,Thermal Projects,tor_granted,1
KARNATAKA,Coal Mining,dead,2
KARNATAKA,INFRA-1,dead,17
KARNATAKA,INFRA-1,granted,30
KARNATAKA,INFRA-1,in_process,17
KARNATAKA,INFRA-1,tor_granted,48
KARNATAKA,INFRA-2,dead,219
KARNATAKA,INFRA-2,granted,999
KARNATAKA,INFRA-2,in_process,207
KARNATAKA,INFRA-2,tor_granted,237
KARNATAKA,Industrial Projects - 1,dead,55
KARNATAKA,Industrial Projects - 1,granted,75
KARNATAKA,Industrial Projects - 1,in_process,15
KARNATAKA,Industrial Projects - 1,tor_granted,62
KARNATAKA,Industrial Projects - 2,dead,58
KARNATAKA,Industrial Projects - 2,granted,74
KARNATAKA,Industrial Projects - 2,in_process,19
KARNATAKA,Industrial Projects - 2,tor_granted,49
KARNATAKA,Industrial Projects - 3,dead,44
KARNATAKA,Industrial Projects - 3,granted,71
KARNATAKA,Industrial Projects - 3,in_process,11
KARNATAKA,Industrial Projects - 3,tor_granted,64
KARNATAKA,Non-Coal Mining,dead,761
KARNATAKA,Non-Coal Mining,granted,1744
KARNATAKA,Non-Coal Mining,in_process,402
KARNATAKA,Non-Coal Mining,tor_granted,165
KARNATAKA,None,in_process,43
KARNATAKA,River Valley and Hydroelectric Projects,dead,5
KARNATAKA,River Valley and Hydroelectric Projects,granted,3
KARNATAKA,River Valley and Hydroelectric Projects,tor_granted,4
KARNATAKA,Thermal Projects,dead,2
KERALA,INFRA-1,dead,2
KERALA,INFRA-1,granted,7
KERALA,INFRA-1,in_process,1
KERALA,INFRA-1,tor_granted,8
KERALA,INFRA-2,dead,15
KERALA,INFRA-2,granted,67
KERALA,INFRA-2,in_process,76
KERALA,INFRA-2,tor_granted,14
KERALA,Industrial Projects - 1,dead,8
KERALA,Industrial Projects - 1,granted,5
KERALA,Industrial Projects - 1,in_process,9
KERALA,Industrial Projects - 1,tor_granted,4
KERALA,Industrial Projects - 2,dead,1
KERALA,Industrial Projects - 2,granted,1
KERALA,Industrial Projects - 3,dead,1
KERALA,Industrial Projects - 3,tor_granted,1
KERALA,Non-Coal Mining,dead,206
KERALA,Non-Coal Mining,granted,341
KERALA,Non-Coal Mining,in_process,654
KERALA,Non-Coal Mining,tor_granted,121
KERALA,None,in_process,2
KERALA,River Valley and Hydroelectric Projects,dead,1
KERALA,River Valley and Hydroelectric Projects,in_process,2
KERALA,River Valley and Hydroelectric Projects,tor_granted,1
LADAKH,INFRA-2,dead,2
LADAKH,INFRA-2,in_process,1
LADAKH,Non-Coal Mining,dead,12
LAKSHADWEEP,INFRA-1,tor_granted,3
LAKSHADWEEP,INFRA-2,tor_granted,9
MADHYA PRADESH,Coal Mining,dead,20
MADHYA PRADESH,Coal Mining,granted,33
MADHYA PRADESH,Coal Mining,in_process,9
MADHYA PRADESH,Coal Mining,tor_granted,26
MADHYA PRADESH,INFRA-1,dead,10
MADHYA PRADESH,INFRA-1,granted,6
MADHYA PRADESH,INFRA-1,in_process,2
MADHYA PRADESH,INFRA-1,tor_granted,12
MADHYA PRADESH,INFRA-2,dead,35
MADHYA PRADESH,INFRA-2,granted,81
MADHYA PRADESH,INFRA-2,in_process,55
MADHYA PRADESH,INFRA-2,tor_granted,54
MADHYA PRADESH,Industrial Projects - 1,dead,21
MADHYA PRADESH,Industrial Projects - 1,granted,26
MADHYA PRADESH,Industrial Projects - 1,in_process,17
MADHYA PRADESH,Industrial Projects - 1,tor_granted,35
MADHYA PRADESH,Industrial Projects - 2,dead,11
MADHYA PRADESH,Industrial Projects - 2,granted,39
MADHYA PRADESH,Industrial Projects - 2,in_process,5
MADHYA PRADESH,Industrial Projects - 2,tor_granted,17
MADHYA PRADESH,Industrial Projects - 3,dead,8
