date,deal_type,role,company_name,title,url
2026-02-12,acquisition,acquirer,Fidelity Funds,CCI approves proposed acquisition of minority shareholding of ~6.63% of Valuedrive Technologies Pvt Ltd by Fidelity Funds,https://pib.gov.in/PressReleasePage.aspx?PRID=2227277
2026-02-03,acquisition,target,certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Pvt Ltd,CCI approves proposed acquisition of certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Pvt Ltd by L. Catterton India Fund,https://pib.gov.in/PressReleasePage.aspx?PRID=2222757
2026-02-03,acquisition,acquirer,L. Catterton India Fund,CCI approves proposed acquisition of certain shareholding (on a fully diluted basis) of Haldiram Snacks Food Pvt Ltd by L. Catterton India Fund,https://pib.gov.in/PressReleasePage.aspx?PRID=2222757
2026-01-27,acquisition,target,Toyota Industries Corp,"CCI approves acquisition of certain shareholding of Toyota Industries Corp by Elliott Associates, L.P., Elliott International, L.P., and Liverpool Ltd Partnership (Acquirers)",https://pib.gov.in/PressReleasePage.aspx?PRID=2219279
2026-01-27,acquisition,acquirer,Elliott Associates,"CCI approves acquisition of certain shareholding of Toyota Industries Corp by Elliott Associates, L.P., Elliott International, L.P., and Liverpool Ltd Partnership (Acquirers)",https://pib.gov.in/PressReleasePage.aspx?PRID=2219279
2026-01-27,acquisition,target,certain unit holding in National Highways Infra Trust,CCI approves proposed acquisition of certain unit holding in National Highways Infra Trust by Nitro Asia Holdings II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2219281
2026-01-27,acquisition,acquirer,Nitro Asia Holdings II Pte,CCI approves proposed acquisition of certain unit holding in National Highways Infra Trust by Nitro Asia Holdings II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2219281
2026-01-20,acquisition,target,Thriveni Pellets Pvt Ltd,CCI approves acquisition of 50.01% equity share capital of Thriveni Pellets Pvt Ltd by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2216553
2026-01-20,acquisition,acquirer,Tata Steel Ltd,CCI approves acquisition of 50.01% equity share capital of Thriveni Pellets Pvt Ltd by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2216553
2026-01-06,acquisition,target,Krosaki Harima Corporation,CCI approves acquisition of Krosaki Harima Corporation by Nippon Steel Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=2211958
2026-01-06,acquisition,acquirer,Nippon Steel Corporation,CCI approves acquisition of Krosaki Harima Corporation by Nippon Steel Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=2211958
2026-01-06,acquisition,target,Roppen Transportation Services Private Limited,CCI approves proposed acquisition of additional shareholding in Roppen Transportation Services Private Limited by MIH Investments One B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2211959
2026-01-06,acquisition,acquirer,MIH Investments One B,CCI approves proposed acquisition of additional shareholding in Roppen Transportation Services Private Limited by MIH Investments One B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=2211959
2025-12-23,acquisition,target,sole control in Tata BlueScope Steel Pvt. Ltd. by purchasing the remaining 50% equity shareholding currently held,CCI has approved Tata Steel Limited’s proposed acquisition of sole control in Tata BlueScope Steel Pvt. Ltd. by purchasing the remaining 50% equity shareholding currently held by BlueScope Steel Asia Holdings Pty Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207899
2025-12-23,acquisition,acquirer,BlueScope Steel Asia Holdings Pty Ltd,CCI has approved Tata Steel Limited’s proposed acquisition of sole control in Tata BlueScope Steel Pvt. Ltd. by purchasing the remaining 50% equity shareholding currently held by BlueScope Steel Asia Holdings Pty Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207899
2025-12-23,acquisition,target,certain warrants of Federal Bank Limited,CCI has approved acquisition of certain warrants of Federal Bank Limited by Asia II Topco XIII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207901
2025-12-23,acquisition,acquirer,Asia II Topco XIII Pte,CCI has approved acquisition of certain warrants of Federal Bank Limited by Asia II Topco XIII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2207901
2025-12-16,acquisition,target,paper and pulp manufacturing business of Aditya Birla Real Estate Limited,CCI approves acquisition of paper and pulp manufacturing business of Aditya Birla Real Estate Limited by ITC Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2204818
2025-12-16,acquisition,acquirer,ITC Limited,CCI approves acquisition of paper and pulp manufacturing business of Aditya Birla Real Estate Limited by ITC Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2204818
2025-12-16,acquisition,target,minority shareholding in DCX Global Limited,CCI approves the proposed combination involving acquisition of minority shareholding in DCX Global Limited by Coinbase Global Inc.,https://pib.gov.in/PressReleasePage.aspx?PRID=2204820
2025-12-16,acquisition,acquirer,Coinbase Global Inc,CCI approves the proposed combination involving acquisition of minority shareholding in DCX Global Limited by Coinbase Global Inc.,https://pib.gov.in/PressReleasePage.aspx?PRID=2204820
2025-12-16,acquisition,target,"Logisteed Holdings, Ltd. (Target)","CCI approves acquisition of certain equity stake in Logisteed Holdings, Ltd. (Target) by Japan Post Co., Ltd. (Acquirer)",https://pib.gov.in/PressReleasePage.aspx?PRID=2204822
